corporateID,corporateType,corporateName,corporateKana,location,moddate
9210001012626,http://imi.go.jp/ns/code_id/code/kind#301,井波酒造株式会社,,福井県鯖江市有定町１丁目１番２２号,2015-11-12T15:00:00.000Z
8210001012627,http://imi.go.jp/ns/code_id/code/kind#301,株式会社相木屋商店,アイキヤショウテン,福井県鯖江市柳町２丁目２番２０号,2018-08-30T15:00:00.000Z
7210001012628,http://imi.go.jp/ns/code_id/code/kind#301,青山眼鏡株式会社,アオヤマガンキョウ,福井県鯖江市神中町２丁目３番３０号,2020-06-15T15:00:00.000Z
6210001012629,http://imi.go.jp/ns/code_id/code/kind#301,青山商事株式会社,,福井県鯖江市持明寺町第８号２８番地,2015-11-12T15:00:00.000Z
4210001012630,http://imi.go.jp/ns/code_id/code/kind#301,揚原織物工業株式会社,アゲハラオリモノコウギョウ,福井県鯖江市有定町１丁目３番２６号,2018-04-05T15:00:00.000Z
3210001012631,http://imi.go.jp/ns/code_id/code/kind#301,揚原建設株式会社,アゲハラケンセツ,福井県鯖江市戸口町１６号１１番地,2018-05-09T15:00:00.000Z
2210001012632,http://imi.go.jp/ns/code_id/code/kind#301,株式会社白崎コーポレーション,シラサキコーポレーション,福井県鯖江市石生谷町第１１号２３番地,2021-05-12T15:00:00.000Z
1210001012633,http://imi.go.jp/ns/code_id/code/kind#301,有定自動車株式会社,,福井県鯖江市小黒町１丁目３番２５号,2015-11-12T15:00:00.000Z
9210001012634,http://imi.go.jp/ns/code_id/code/kind#301,アレス眼鏡株式会社,,福井県鯖江市下新庄町１７字１３番地の１,2015-11-12T15:00:00.000Z
8210001012635,http://imi.go.jp/ns/code_id/code/kind#301,葵商事株式会社,,福井県鯖江市戸口町１９号１番地,2015-11-12T15:00:00.000Z
7210001012636,http://imi.go.jp/ns/code_id/code/kind#301,株式会社青山光学,アオヤマコウガク,福井県鯖江市丸山町３丁目６番１６号,2021-05-10T15:00:00.000Z
6210001012637,http://imi.go.jp/ns/code_id/code/kind#301,アルファ株式会社,アルファ,福井県鯖江市水落町７号２８番地の６,2020-05-17T15:00:00.000Z
5210001012638,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エジソン無線,エジソンムセン,福井県鯖江市住吉町１丁目１番２２号,2019-03-07T15:00:00.000Z
2210001012640,http://imi.go.jp/ns/code_id/code/kind#301,青山ライセンス株式会社,,福井県鯖江市神中町２丁目３番３０号,2015-11-12T15:00:00.000Z
1210001012641,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アオヤギ,,福井県鯖江市北野町２丁目２４番１１号,2015-11-12T15:00:00.000Z
8210001012643,http://imi.go.jp/ns/code_id/code/kind#301,株式会社揚原工務店,,福井県鯖江市落井町４２号１２番地,2015-11-12T15:00:00.000Z
7210001012644,http://imi.go.jp/ns/code_id/code/kind#301,アルテック福井株式会社,アルテックフクイ,福井県鯖江市石田上町４６字７番,2018-06-19T15:00:00.000Z
6210001012645,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アドバンステック,,福井県鯖江市御幸町１丁目２０５番地１,2015-11-12T15:00:00.000Z
5210001012646,http://imi.go.jp/ns/code_id/code/kind#301,アイテック株式会社,アイテック,福井県鯖江市神中町２丁目６番８号,2018-05-08T15:00:00.000Z
4210001012647,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アモーレながすぎ,アモーレナガスギ,福井県鯖江市小黒町１丁目１５番２３号,2018-04-22T15:00:00.000Z
3210001012648,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アイビジョン,,福井県鯖江市東鯖江３丁目３番７号,2015-11-12T15:00:00.000Z
9210001012650,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アネステイ・コーポレーション,アネスティコーポレーション,福井県鯖江市川去町７号８番地の４,2021-01-05T15:00:00.000Z
7210001012652,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アイランド,アイランド,福井県鯖江市神中町２丁目９番１号,2020-02-06T15:00:00.000Z
6210001012653,http://imi.go.jp/ns/code_id/code/kind#301,天谷電気工事株式会社,,福井県鯖江市北野町２丁目８番５号,2015-11-12T15:00:00.000Z
5210001012654,http://imi.go.jp/ns/code_id/code/kind#301,前田電設株式会社,マエダデンセツ,福井県鯖江市有定町３丁目３番２１号,2021-01-12T15:00:00.000Z
4210001012655,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アート引越センター北陸,アートヒッコシセンターホクリク,福井県鯖江市御幸町１丁目３０１番地４４,2018-06-04T15:00:00.000Z
3210001012656,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アートホールディングス,アートホールディングス,福井県鯖江市上河端町第６号１番地３３,2018-09-30T15:00:00.000Z
2210001012657,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アース開発,,福井県鯖江市上鯖江１丁目１０番１２号,2015-11-12T15:00:00.000Z
9210001012659,http://imi.go.jp/ns/code_id/code/kind#301,アルファ株式会社,,福井県鯖江市幸町１丁目１番１号,2015-11-12T15:00:00.000Z
6210001012661,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アスカエンタプライズ,アスカエンタプライズ,福井県鯖江市北野町１２号１３番地,2018-08-27T15:00:00.000Z
5210001012662,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アクティブ,アクティブ,福井県鯖江市御幸町１丁目２番３２号,2019-12-24T15:00:00.000Z
2210001012665,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アメニティウエルネス,アメニティウエルネス,福井県鯖江市下新庄町第５８号１番地２,2019-12-03T15:00:00.000Z
1210001012666,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アップテック,アップテック,福井県鯖江市神中町２丁目７番４０号,2019-06-19T15:00:00.000Z
9210001012667,http://imi.go.jp/ns/code_id/code/kind#301,株式会社あすわ,アスワ,福井県鯖江市当田町第２０号１０番地,2018-11-08T15:00:00.000Z
8210001012668,http://imi.go.jp/ns/code_id/code/kind#301,株式会社石黒組,,福井県鯖江市川島町１７字１４番,2015-11-12T15:00:00.000Z
7210001012669,http://imi.go.jp/ns/code_id/code/kind#301,伊藤眼鏡工業株式会社,イトウメガネコウギョウ,福井県鯖江市神中町２丁目６番６号,2021-09-15T15:00:00.000Z
5210001012670,http://imi.go.jp/ns/code_id/code/kind#301,株式会社岩尾石油店,イワオセキユテン,福井県鯖江市杉本町１６号１１番地,2018-11-08T15:00:00.000Z
4210001012671,http://imi.go.jp/ns/code_id/code/kind#301,株式会社岩城工業所,,福井県鯖江市石田下町第３号１番地の１,2015-11-12T15:00:00.000Z
2210001012673,http://imi.go.jp/ns/code_id/code/kind#301,株式会社岩佐,,福井県鯖江市水落町４４号４８番地,2016-03-02T15:00:00.000Z
1210001012674,http://imi.go.jp/ns/code_id/code/kind#301,伊藤鉄工株式会社,イトウテッコウ,福井県鯖江市水落町１丁目１５番２５号,2018-05-08T15:00:00.000Z
9210001012675,http://imi.go.jp/ns/code_id/code/kind#301,株式会社石本石材,,福井県鯖江市定次町第２３号３番地,2015-11-12T15:00:00.000Z
3210001012680,http://imi.go.jp/ns/code_id/code/kind#301,株式会社いづみ,,福井県鯖江市吉谷町第２０号９番地の１,2015-11-12T15:00:00.000Z
